BIBTEXKEY,JOURNAL,TITLE,ABSTRACT,ISSN,ISBN,DOI
riedel_efficacy_1987,ARZNEIMITâ„¡-FORSCHUNG/DRUG RESEARCH,ON} {THE} {EFFICACY} {OF} {TRAPIDIL} {AND} {SOME} {TRAPIDIL} {DERIVATIVES} {ON} {DRUG}-{INDUCED} {CARDIAC}-{ARRHYTHMIAS} {RAT} {AND} {GUINEA}-{PIG,NA,0004-4172,NA,NA
ezenyi_ethnopharmacology-aided_2020,Journal of ethnopharmacology,Ethnopharmacology-aided antiplasmodial evaluation of six selected plants used for malaria treatment in {Nigeria}.,"ETHNOPHARMACOLOGICAL RELEVANCE: Sub - Saharan Africa has a high malaria burden and Nigeria accounts for majority of malaria cases worldwide. The aim of this study was to evaluate selected plants extracts used against malaria in Nigeria for antiplasmodial activity., MATERIALS AND METHODS: An ethnomedicinal based - approach by literature survey was used to identify plants used in the study. The parts of the plant used were collected and extracted with 70\% v/v ethanol; a portion of each extract was used to prepare successive solvent and residual fractions. Chloroquine-sensitive (3D7) P. falciparum strain and human embryonic kidney cells (HEK293) were used for antiplasmodial and cytotoxicity screening respectively. Hemolysis assay was also carried out on red blood cells (RBCs). Test for in vivo efficacy of an active extract was conducted in a mouse model of established P. berghei ANKA-infection., RESULTS: A total of six plants; Andropogon schirensis, Celtis durandii, Chasmanthera dependens, Daniellia ogea, Icacina trichantha and Triumfetta cordifolia were selected and screened. Triumfetta cordifolia leaf extract was observed to display moderate in vitro antiplasmodial activity (IC50 = 48.09 mug/ml) and was non-toxic to HEK293 cells and erythrocytes. At a dose of 400 mg/kg, T. cordifolia significantly (p{\textless}0.001) suppressed parasitemia, significantly (p{\textless}0.001) inhibited RBC depletion and prolonged survival in infected mice., CONCLUSIONS: T. cordifolia ethanol extract possesses antiplasmodial efficacy and this is the first report of its kind on the plant. It is a potential candidate for further studies to identify its mechanism of action. Copyright Â© 2020 Elsevier B.V. All rights reserved.",1872-7573,NA,10.1016/j.jep.2020.112694
janusz_moderation_2001,OSTEOARTHRITIS AND CARTILAGE,Moderation of iodoacetate-induced experimental osteoarthritis in rats by matrix metalloproteinase inhibitors,"Objective: To determine the effect of matrix metalloproteinase (MMP) inhibitors in mono-iodoacetate-induced arthritis in rats. Design: The ability of compounds to inhibit MMPs in vitro was assessed kinetically using a quenched fluorescent substrate. Rats were injected with iodoacetate intraarticularly in one knee joint and damage to the tibial plateau was evaluated from digitized images captured using an image analyser and by histology. Collagenase and gelatinase activity in cartilage from iodoacetate injected knees were evaluated using H-3-rat type I collagen and gelatin zymography, respectively. Results: Collagenase and gelatinase activity significantly increased in the knee cartilage of rats injected with iodoacetate with peak activity by day 7. Three MMP inhibitors were examined for their efficacy in the rat iodoacetate-induced arthritis model. Significant (P{\textless}0.05) inhibition of cartilage damage was observed in animals treated orally with 35 mg/kg b.i.d. of the three different MMP inhibitors. Inhibition of cartilage damage by the MMP inhibitors ranged from 36-42\%. Conclusion: MMP inhibitors are partially protective against cartilage and subchondral bone damage induced by iodoacetate. These results support an important role for MMPs in mediating the joint damage in this model of arthritis. (C) 2001 OsteoArthritis Research Society International.",1063-4584,NA,10.1053/joca.2001.0472
williams_hepatotoxicity_1970,Tropical and geographical medicine,Hepatotoxicity of {Senecio} abyssinicus. {Experimental} and ultrastructural studies.,NA,0041-3232,NA,NA
curtis_pilot_2014,Minnesota Department of Natural Resources Summaries of Wildlife Research   Findings,PILOT} {STUDY} {TO} {ASSESS} {HARVEST} {MORTALITY} {RATES} {OF} {GRAY} {AND} {FOX} {SQUIRRELS} {ON} {PUBLIC} {LAND} {IN} {MINNESOTA}.,NA,NA,NA,NA
tomori_virological_1976,Nigerian medical journal : journal of the Nigeria Medical Association,Virological and serological studies of a suspected yellow fever virus outbreak in {Mabudi} area of {Benue} {Plateau} {State} of {Nigeria}.,"Human sera collected during a suspected yellow fever outbreak in Mabudi, Benue-Plateau State of Nigeria were examined for virus content by mouse inoculation, and presence of antibody by complement fixation (CF) and neutralization (N) tests in baby mice. No virus was isolated from 116 sera examined. 40 and 41 of the 358 sera tested were positive for yellow fever and UgMP 359 CF antibodies respectively, with 12 possession CF antibodies to both viruses. In neutralization tests, 91 and 99 of the 243 sera tested were positive for yellow fever and UgMP 359 N antibodies respectively with 37 positive for both viruses. Tissues from one hundred and twelve animals; 77 rodents and 45 birds were also tested for virus content and found negative. None of the 9 rodent and 3 bird sera was positive for N antibody to either virus.",0300-1652,NA,NA
berthier_black_2016-1,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,Black rat invasion of inland {Sahel}: insights from interviews and population genetics in south-western {Niger,"Human population migrations, as well as long-distance trade activities, have been responsible for the spread of many invasive organisms. The black rat, Rattus rattus, has colonized most of the world following ship-mediated trade. Owing to its tight association with human infrastructures, this species has been able to survive in unfavourable environments, such as Sahelian Africa. In this work, we combined interview-based and population genetic surveys to investigate the processes underlying the ongoing invasion of south-western Niger by black rats, with special emphasis on the capital city, Niamey. Our trapping and interview data are quite congruent, and all together point towards a patchy, but rather widespread, current distribution of R. rattus. Genetic data strongly suggest that road network development for truck-based commercial flow from/to international harbours located in neighbouring countries (Benin, Togo, and Nigeria) facilitates the passive dispersal of black rats over a long distance through unfavourable landscapes. Another potentially, more ancient, invasion route may be associated with boat transport along the Niger River. Human-mediated dispersal thus probably allows the foundation of persisting populations within highly anthropized areas while population dynamics may be more unstable in remote areas and mostly depends on propagule pressure.",0024-4066,NA,10.1111/bij.12836
loeb_responses_1999-1,JOURNAL OF MAMMALOGY,Responses of small mammals to coarse woody debris in a southeastern pine forest,"The importance of coarse woody debris (CWD) to small mammals in a managed pine forest in South Carolina was tested experimentally during summer and autumn 1990 and winter and spring 1991-1994. Abundance and demographics of small mammals were compared between plots with abundant CWD created by a tornado (unsalvaged plots) and plots where tornado-created CWD had been removed (salvaged plots). Species composition was similar between unsalvaged and salvaged plots, but more small mammals were captured on unsalvaged plots. Cotton mice (Peromyscus gossypinus) were the most abundant species captured in all plots and were significantly more abundant in unsalvaged plots in every trapping period. Adult female P. gossypinus in unsalvaged plots had greater survival and were more likely to be in reproductive condition than adult females in salvaged plots. Southern short-tailed shrews (Blarina carolinensis) and cotton rats (Sigmodon hispidus) tended to be more abundant in unsalvaged plots. Fox squirrels (Sciurus niger), the second most abundant species in salvaged plots, were never captured on unsalvaged plots. Large amounts of CWD improve habitat quality of pine forests for P. gossypinus, and CWD is probably an important habitat component for other species.",0022-2372,NA,10.2307/1383293
cowper_notes_1959,The West African medical journal,Notes on the snail vector of {Schistosoma} haematobium in the {Ibadan} area of {Nigeria}: with some observations on the pathology of the liver and spleen in mice experimentally infected with {Schistosoma} haematobium and {Schistoma} mansoni.,NA,0043-3004,NA,NA
whitehead_comparison_1977,Transactions of the Royal Society of Tropical Medicine and Hygiene,A comparison of the pathogenesis of protein-energy malnutrition in {Uganda} and {The} {Gambia}.,"The pattern of growth, biochemical and endocrine development, dietary intake and disease patterns of rural children in Uganda and The Gambia have been monitored during the first three years of life in order to gain a more complete understanding of the reasons why in Uganda kwashiorkor predominates, whereas in The Gambia it is marasmus. Evidence is produced which supports the view that the hormonal balance, particularly cortisol and insulin status, can have a profound influence on which organs of the body are preferentially affected by malnutrition and hence on the type of protein-energy malnutrition which is likely to emerge. There were, however, also important differences in protein and energy intake between the two countries.",0035-9203,NA,NA
kumamoto_identification_2007,FREE RADICAL RESEARCH,Identification of a radical formed in the reaction mixture of rat brain homogenate with a ferrous ion/ascorbic acid system using {HPLC}-{EPR} and {HPLC}-{EPR}-{MS,"Identification of a free radical is performed for the reaction mixture of rat brain homogenate with a ferrous ion/ascorbic acid system using EPR, high performance liquid chromatography-electron paramagnetic resonance spectrometry (HPLC-EPR) and high performance liquid chromatography-electron paramagnetic resonance-mass spectrometry (HPLC-EPR-MS). EPR measurements of the reaction mixtures showed prominent signals with hyperfine coupling constants (alpha(N) = 1.58mT and alpha(H)beta = 0.26 mT). No EPR spectrum was detectable without rat brain homogenate, suggesting that the radical is derived from rat brain homogenate. An HPLC-EPR analysis of the reaction mixture showed a peak with retention time of 33.7 min. An HPLC-EPR-MS analysis of the peak gave two ions at m/z 224 and 137, suggesting that alpha-(4-pyridyl-1-oxide)-N-tertbutylnitrone (4-POBN)/ethyl radical adduct forms in the reaction mixture.",1071-5762,NA,10.1080/10715760701236758
vidyasagar_determination_1997,ANALYST,Determination of aflatoxin {B}-1-{DNA} adduct in rat liver by enzyme immunoassay,"A simple, rapid and highly sensitive indirect competitive enzyme-linked immunosorbent assay (ELISA) to determine aflatoxin B-1 (AFB(1))-DNA adducts is reported, Polyclonal antibodies specific to the aflatoxin B-1-N-7-guanine adduct were produced using a novel synthetic antigen, bovine serum albumin (BSA)-guanine-AFB(1). The antibodies were characterized by the Ouchterlony double diffusion technique and by antibody capture assay. The working range of the indirect competitive assay developed was between 0.45 and 330 ng of the analyte [calf thymus (CT)-DNA-AFB(1)]. A 50\% inhibition was attained at 15 ng of the analyte (CT-DNA-AFB(1)). The antibody capture assay indicated that the antibody produced cross-reacted 100, 92 and 110\% with BSA-guanine-AFB(1), CT-DNA-AFB(1) and CT-DNA-formamidopyrimidine-AFB(1), respectively. When free AFB(1) and guanine were used as competing analytes, the antibodies showed less than or equal to 5\% and zero cross-reactivity at the 50\% inhibition level, Spiking studies indicated a recovery in the range 96-97 and 74-78\% when standard CT-DNA-AFB(1) was added to 10 mM phosphate buffer (pH 7.2) and control rat liver tissue, respectively. Rats exposed to a single oral dose of 1 mg kg(-1) body mass of pure AFB(1) were used to validate the method, The AFB(1)-DNA adduct formed in the liver tissue after 48 h of exposure was determined using the ELISA method developed. The liver AFB(1)-DNA adduct ranged between 6.06 and 7.94 mu g mg(-1) DNA. The proposed method may find application in the biological monitoring of aflatoxin B-1 in molecular epidemiological studies to assess the dietary exposure of aflatoxins.",0003-2654,NA,10.1039/a607794c
feig_pairing_1993,JOURNAL OF NEUROSCIENCE,"PAIRING} {THE} {CHOLINERGIC} {AGONIST} {CARBACHOL} {WITH} {PATTERNED} {SCHAFFER} {COLLATERAL} {STIMULATION} {INITIATES} {PROTEIN}-{SYNTHESIS} {IN} {HIPPOCAMPAL} {CA1} {PYRAMIDAL} {CELL} {DENDRITES} {VIA} {A} {MUSCARINIC}, {NMDA}-{DEPENDENT} {MECHANISM","Effects of afferent stimulation on local synthesis of protein in CA1 pyramidal cell dendrites were studied using light microscope autoradiography. Tissue was fixed with paraformaldehyde immediately after 3 min exposure to H-3-leucine in order to trap H-3 associated with macromolecules. The rate of H-3-leucine incorporation into dendrites of resting hippocampal slices was 10\% the rate of incorporation into cell somata. Ninety percent of the incorporation into the somata was inhibited by cycloheximide (300 mum); none of the incorporation into dendrites was blocked by cycloheximide. Thus, there is no measurable extramitochondrial synthesis of protein in the dendrites of the resting slice. Slices were exposed to 50 mum carbachol and the Schaffer collateral afferents to the CA1 pyramidal cells were stimulated intermittently at 10 Hz over a 20 min period. In this case, H-3 incorporation into dendrites was increased almost threefold over resting levels, with no effect on label over the cell somata. There was no associated increase in uptake of free H-3-leucine, and the increase in label was completely blocked by cycloheximide. Thus, associating carbachol and afferent stimulation appears to activate de novo protein synthesis in the dendrites. Neither the carbachol alone nor the Schaffer collateral stimulation alone increased synthesis. The activation of dendrite synthesis was completely blocked by 5 mum atropine, and also by 50 muM D-aminophosphonovalerate. It did not occur when carbachol was paired with steady stimulation of the Schaffer collaterals at 1 Hz for 20 min, rather than with the patterned high-frequency stimulation. Thus, associating a cholinergic agonist with a level of neural activity that occurs in CA3 and CA 1 pyramidal cells during exploratory behavior (Muller et al., 1987) initiates local protein synthesis in target dendrites. This effect is dependent on muscarinic cholinergic receptors and NMDA-type glutamate receptors. The possible relationship of this phenomenon to mechanisms of learning is discussed.",0270-6474,NA,NA
okolo_analgesic_1995,Journal of ethnopharmacology,Analgesic effect of {Irvingia} gabonensis stem bark extract.,"Irvingia gabonensis is used medicinally in most parts of tropical Africa for the treatment of a number of ailments. In West Africa the Mende tribe of Sierra Leone uses the stem bark to relieve pain. In order to establish a pharmacological rationale for the traditional use of this plant as a remedy for pain, the water and ethanol extracts of the powdered stem bark were screened for analgesic activity and compared with standard analgesic drugs. The water extract and morphine protected the mice from heat-induced pain. In contrast, the ethanol extract and metamizole sodium showed very low level of analgesic activity in this test. However, using tail pressure as a source of pain, the water and ethanol extracts, metamizole sodium and morphine offered protection to the mice against pain stimuli. Morphine and the water extract were more potent as analgesic agents in heat than non-heat pain test. The analgesic effects of the water extract and morphine were blocked by a non-selective opioid receptor antagonist, naloxone in both tests, whereas the analgesic effects of the ethanol extract and metamizole sodium were not antagonized by the same dose of the opioid antagonist. The data presented in this study suggest that the active principle(s) in the water extract has analgesic profile similar to that of the narcotic analgesic and the ethanol extract might contain compound(s) that behave like non-narcotic analgesic agent. These findings provide for the first time the pharmacological basis for the folkloric use of Irvingia gabonensis in the relief of pain.",0378-8741,NA,NA
cragg_heterogeneity_1997,JOURNAL OF NEUROPHYSIOLOGY,"Heterogeneity of electrically evoked dopamine release and reuptake in substantia nigra, ventral tegmental area, and striatum","Somatodendritic dopamine (DA) released in substantia nigra pars compacta (SNc) and the ventral tegmental area (VTA) may mediate extrasynaptic neuronal signaling. The concentration of extracellular DA ([DA](o)) attained during somatodendritic activation will be governed by the density of release sites and properties of DA uptake. We evaluated these factors in SNc, VTA, and dorsal striatum with carbon-fiber microelectrodes and fast-scan cyclic voltammetry to monitor [DA](o) during local electrical stimulation (10 Hz, 5 s) in guinea pig brain slices. Stimulated DA efflux was site specific, with significantly higher [DA](o) in caudal (0.48 +/- 0.03 mu M, mean +/- SE) than rostral SNc (0.16 +/- 0.01 mu M), averaged over their mediolateral extents, and higher [DA](o) in VTA (0.74 +/- 0.07 mu M) than in medial (0.43 +/- 0.04 mu M) or lateral SNc (0.29 +/- 0.05 mu M), averaged rostrocaudally. Throughout SNc, evoked [DA](o) correlated positively (r = 0.91) with the density of tyrosine-hydroxylase-immunoreactive cells. Modulation of evoked [DA](o) by uptake was also site specific. The selective DA uptake inhibitor GBR 12909 significantly increased evoked [DA](o) in caudal SNc (to 185 +/- 27\%) and striatum (408 +/- 24\%), but had no effect in rostral SNc or VTA. Conversely, the norepinephrine (NE) uptake inhibitor desipramine did not alter stimulated [DA](o) in caudal SNc or striatum, but caused significant enhancement in rostral SNc (196 +/- 17\%) and VTA (126 +/- 12\%). Paroxetine, a selective 5-hydroxytryptamine uptake inhibitor, had little effect in any region tested. Site-specific sensitivity to desipramine mandated evaluation of dopamine-beta-hydroxylase immunoreactivity (D beta H-ir) in midbrain. The density of filaments positive for D beta H-ir was greater in rostral SNc and VTA than in caudal SNc, suggesting DA clearance via the NE transporter in these regions. Importantly, D beta H-ir was most dense in sections rostral to SNc where no catecholamine signal was detected and no enhancement was observed with desipramine, indicating a lack of NE contribution to evoked release in any region examined. Taken together, these data confirmed that evoked somatodendritic [DA](o) depends on DA cell density and on local uptake properties. Uptake was less efficient in SNc and VTA than in striatum. Moreover, enhancement of stimulated [DA](o) by GBR 12909 demonstrated that evoked release from dendrites is not via reversal of the DA transporter. Lastly, the heterogeneous patterns of DA uptake within SNc and VTA were consistent with the pattern of degeneration in Parkinson's disease: less vulnerable DA cells, e.g., those in VTA, have less DA uptake than the more vulnerable cells of caudal SNc.",0022-3077,NA,NA
northover_-vitro_1993,JOURNAL OF PHARMACOLOGICAL AND TOXICOLOGICAL METHODS,AN} {IN}-{VITRO} {METHOD} {FOR} {ASSESSING} {THE} {EFFECTS} {OF} {PRO}-{INFLAMMATORY} {AND} {ANTIINFLAMMATORY} {COMPOUNDS} {ON} {MICROVASCULAR} {PERMEABILITY} {IN} {THE} {RAT} {SMALL}-{INTESTINE,"A method is described in which the blood vessels of the rat mesentery and small intestine were perfused for 15 min in vitro with a gelatin-containing physiological salt solution. Colloidal carbon (CC) was then added to the perfusate. In control preparations, very little CC was trapped in the microvessels of the small intestine, but if platelet-activating factor (PAF) was added for 5 min before the infusion of CC, many microvessels were `'blackened.â€  When the PAF antagonist BN52021 was included in the perfusate throughout, the `'blackeningâ€  response to PAF was significantly reduced. Using micrographs of fixed specimens of gut, the amounts of `'blackeningâ€  in the microvessels of the villi, the crypts of Lieberkuhn, and the muscularis were assessed using semiautomated image analysis. The technique provides a means of investigating the effects on microvascular permeability of pro-inflammatory and anti-inflammatory compounds. It is particularly useful for testing substances which, because of their highly toxic nature, cannot be administered systemically in vivo.",1056-8719,NA,10.1016/1056-8719(93)90030-I
nupp_landscape-level_2000-1,JOURNAL OF MAMMALOGY,Landscape-level correlates of small-mammal assemblages in forest fragments of farmland,"We studied effects of forest fragmentation on 15 species of small mammals, including 6 species of forest-dwelling granivorous rodents, in the Indian Pine watershed of west-central Indiana. Presence-absence and population densities of small mammals were assessed in spring in 35 woodlots of various sizes (0.1-150 ha) and 2 continuous forest sites ({\textgreater}1,000 ha) using live traps in 1992-1996. Presence-absence and population density were related to landscape attributes using logistic and multiple linear regression models, respectively. Species richness of forest-dwelling small mammals increased with area and was highest in continuous forest sites. Nested subsets of the full complement of species were found in smaller woodlots. White-footed mice (Peromyscus leucopus) were ubiquitous, and eastern chipmunks (Tamias striatus) were nearly ubiquitous across the landscape; densities of both species were related inversely to forested area. Fox squirrels (Sciurus niger) were found at 84\% of study sites, and they did not respond negatively to isolation of forest patches. Red squirrels (Tamiasciurus hudsonicus) were unevenly distributed across the landscape and were found most often in woodlots with large core areas and simple shapes, possibly indicating sensitivity to edge. Southern flying squirrels (Glaucomys volans) and gray squirrels (S. carolinensis) were restricted to continuous forest sites and {\textgreater}4.6-ha woodlots adjacent to other wooded habitat. Species of small mammals differ appreciably in their sensitivities to agriculturally induced fragmentation of forests. Interspecific differences within this assemblage were not due solely, or even primarily, to body size. Rather, differential responses of species to fragmentation likely resulted from variation in habitat breadth and ability to move through an agricultural matrix.",0022-2372,NA,10.1644/1545-1542(2000)081<0512:LLCOSM>2.0.CO;2
kadner_encoding_2008,NEUROSCIENCE,Encoding of temporal features of auditory stimuli in the medial nucleus of the trapezoid body and superior paraolivary nucleus of the rat,"Neurons in the superior paraolivary nucleus (SPON) of the rat respond to the offset of pure tones with a brief burst of spikes. Medial nucleus of the trapezoid body (MNTB) neurons, which inhibit the SPON, produce a sustained pure tone response followed by an offset response characterized by a period of suppressed spontaneous activity. This MNTB offset response is duration dependent and critical to the formation of SPON offset spikes [Kadner A, Kulesza RJ Jr, Berrebi AS (2006) Neurons in the medial nucleus of the trapezoid body and superior paraolivary nucleus of the rat may play a role in sound duration coding. J Neurophysiol. 95:1499-1508; Kulesza RJ Jr, Kadner A, Berrebi AS (2007) Distinct roles for glycine and GABA in shaping the response properties of neurons in the superior paraolivary nucleus of the rat. J Neurophysiol 97: 1610-1620]. Here we examine the temporal resolution of the rat's MNTB/SPON circuit by assessing its capability to i) detect gaps in tones, and ii) synchronize to sinusoidally amplitude modulated (SAM) tones. Gap detection was tested by presenting two identical pure tone markers interrupted by gaps ranging from 0 to 25 ms duration. SPON neurons responded to the offset of the leading marker even when the two markers were separated only by their ramps (i.e. a 0 ms gap); longer gap durations elicited progressively larger responses. MNTB neurons produced an offset response at gap durations of 2 ms or longer, with a subset of neurons responding to 0 ms gaps. SAM tone stimuli used the unit's characteristic frequency as a carrier, and modulation rates ranged from 40 to 1160 Hz. MNTB neurons synchronized to modulation rates up to similar to 1 kHz, whereas spiking of SPON neurons decreased sharply at modulation rates 400 Hz. Modulation transfer functions based on spike count were all-pass for MNTB neurons and low-pass for SPON neurons; the modulation transfer functions based on vector strength were low-pass for both nuclei, with a steeper cutoff for SPON neurons. Thus, the MNTB/SPON circuit encodes episodes of low stimulus energy, such as gaps in pure tones and troughs in amplitude modulated tones. The output of this circuit consists of brief SPON spiking episodes; their potential effects on the auditory midbrain and forebrain are discussed. (c) 2007 IBRO. Published by Elsevier Ltd. All rights reserved.",0306-4522,NA,10.1016/j.neuroscience.2007.11.008
nicolas_terrestrial_2010-1,AFRICAN JOURNAL OF ECOLOGY,"Terrestrial small mammal diversity and abundance in central {Benin}: comparison between habitats, with conservation implications","We performed a terrestrial small mammal species inventory in the Agoua and Wari-Maro forest reserves (Benin). Four localities were sampled, and in each locality, three habitats were surveyed: dense forest, open forest or woodland savannah and shrub savannah. This is the first comprehensive inventory for small mammals in central Benin. We captured 794 small mammals representing twenty species (six shrew species, fourteen rodent species). Three new species that need to be described were recorded. We observed a mixture of both true forest species and of species adapted to a wider range of habitats ranging from savannah to forest clearings. Species with either Sudanian or Guinea-Congolian affinities were recorded, as well as a new species endemic to Togo and Benin. This rich biodiversity underlines the urgent need for an effective protection of these forests. The Sudanian species Crocidura cf. foxi was more abundant in Wari-Maro than in Agoua forest, while the Guineo-Congolian species Praomys misonnei and Hylomyscus sp were only captured in Agoua forest. These results are in agreement with the fact that these two forests belong to two distinct chorological zones.Resume",0141-6707,NA,10.1111/j.1365-2028.2010.01221.x
gora_potential_2000-1,MICROBES AND INFECTION,The potential role of rodents in the enzootic cycle of {Rift} {Valley} fever virus in {Senegal,"Wild rodents (214) of fourteen species were trapped at seven sites in Senegal. Arvicanthis niloticus and Mastomys erythroleucus were among the most frequently collected species (77.2\% of total capture). All rodents were examined for the presence of anti-Rift Valley fever virus (RVFV) antibody; the prevalence over all sampled species was 3.8\%, varying widely with respect to species and location. Four of 14 species of rodents were found to have anti-RVFV antibodies: Rattus rattus (one positive of two tested) Mastomys huberti (13.5\%), A. niloticus (4.3\%), and M. erythroleucus (2.4\%). The highest prevalence of anti-RVFV antibody was recorded within the enzootic area of the Senegal River delta, at Richard Toll (9.6\%). A. niloticus and M. erythroleucus and a strain of laboratory-bred mice were experimentally inoculated with two strains of RVFV and examined for viremia, illness, seroconversion and mortality. A. niloticus and M. erythroleucus demonstrated a limited resistance to infection, thus potentially allowing for the replication of virus in these animals and making these species possible candidates as hosts in the maintenance cycle of RVFV in nature. (C) 2000 Editions scientifiques et medicales Elsevier SAS.",1286-4579,NA,10.1016/S1286-4579(00)00334-8
denys_new_2012,Mammalia,"On a new species of {Dendromus} ({Rodentia}, {Nesomyidae}) from {Mount} {Nimba}, {Guinea}.","The taxonomic position of the westernmost representatives of the genus Dendromus in Africa is clarified herein associated with the recent capture of specimens in a range of habitats and elevations on Mount Nimba, Guinea. On the basis of morphological, morphometric and cytogenetic characters, we describe these animals as a new species. The distinguishing characteristics of the new species, with respect to D. melanotis and D. mystacalis from Gabon and Ghana, include the absence of a dorsal stripe and a larger body size. The new species is also smaller in size than D. oreas from Mount Cameroon. The new species has morphological similarities with karyo-typed specimens of D. messorius from Ippy (Central African Republic) and the so-called D. melanotis from La Maboke, Gabon, but has a distinct karyotype. It is close in morphology to D. messorius from the Cameroon lowlands. This is the first time G and C banding were employed for members of the genus Dendromus, and the karyotype of the new species confirms that it may be a sibling species of the D. messorius ""complex"", for which the distribution and measure of species diversity in west central Africa are far from resolved. The new species occurs in Guinean and Liberian montane savannas of Mount Nimba and in banana and quinine plantations around Mount Ziama, Guinea. It is also known from the Ivory Coast. The presence of this new species highlights the importance of altitude savannas and forests of the Nimba region for conservation.",0025-1461,NA,NA
aniagu_anti-diarrhoeal_2005,Journal of ethnopharmacology,Anti-diarrhoeal and ulcer-protective effects of the aqueous root extract of {Guiera} senegalensis in rodents.,"The anti-diarrhoeal and ulcer-protective properties of the aqueous root extract of Guiera senegalensis, a popular herbal traditional medicine in Nigeria were investigated in rats and mice. Acute toxicity studies were also carried out. The intestinal transit in mice was significantly (P {\textless} 0.05) reduced and gastric emptying delayed. One hundred and Two hundred milligrams per kilogram (p.o.) of the extract elicited a greater anti-motility activity than 0.1 mg/kg of atropine. The extract exhibited ulcer-protective properties against ethanol-induced ulceration in rats with maximal anti-ulcer activity recorded at 100 mg/kg. Guiera senegalensis also exerted significant anti-enteropooling effects causing a dose-related inhibitory effect on castor oil-induced enteropooling in rats. A profound anti-diarrhoeal activity was observed when Guiera senegalensis was tested in diarrhoeic mice. The frequency of defaecation as well as the wetness of the faecal droppings was significantly reduced. Furthermore, the extract produced 100\% inhibition of castor oil-induced diarrhoea in mice. The oral LD50 values obtained were {\textgreater} 5000 mg/kg in both mice and rats. The results support the folkloric applications of Guiera senegalensis for the treatment of diarrhoea and ulcer in Nigerian herbal traditional medicine.",0378-8741,NA,NA
tomori_susceptibility_1977,Acta virologica,Susceptibility of laboratory and domestic animals to experimental infection with {Orungo} virus.,"Laboratory and domestic animals: mice, hamsters, rabbits, sparrows, chickens and lambs were inoculated with Orungo virus to determine their susceptibility as evidenced by clinical response, viraemia and antibody development. Mice and hamsters circulated the virus and developed neutralising antibodies; clinical signs of disease included ruffled hair coat, hypersensitivity to sudden noise and hindleg paralysis. There was an age-related susceptibility to infection in these two animals. Rabbits and lambs developed neutralising antibody but not viraemia, nor did they show signs of illness. Sparrows and chickens neither circulated the virus, nor developed neutralising antibodies to Orungo virus.",0001-723X,NA,NA
bramham_delta_1991,BRAIN RESEARCH,DELTA} {OPIOID} {RECEPTOR} {ACTIVATION} {IS} {REQUIRED} {TO} {INDUCE} {LTP} {OF} {SYNAPTIC} {TRANSMISSION} {IN} {THE} {LATERAL} {PERFORANT} {PATH} {INVIVO,"The role of opioid receptors in long-term potentiation (LTP) of the medial (MPP) and lateral (LPP) divisions of the perforant path-granule cell projection was investigated in urethane anesthetized rats. A stimulating electrode was positioned in the dorsomedial or ventrolateral aspect of the angular bundle for selective activation of the MPP and LPP, respectively. A push-pull cannula served to focally perfuse artificial cerebrospinal fluid (ACSF) across the perforant path terminal zone, while perforant path evoked potentials were monitored in the dentate hilus. Robust LTP of the excitatory postsynaptic potential (EPSP) initial slope and population spike height was induced by high frequency stimulation (400 Hz, 8 bursts of 8 pulses) applied to the medial or lateral perforant path in rats perfused with standard medium. In the lateral perforant path, a putative proenkephalin system, LTP of the EPSP and population spike was blocked when ACSF containing 100-mu-M of the opioid receptor antagonist naloxone was present during the tetanus, while perfusion with 0.1-mu-M naloxone prevented EPSP potentiation but only reduced the magnitude of the population spike increase. Naloxone had no effect on LTP induction in the MPP. Importantly, 0.1-mu-M ICI 174,864, a selective antagonist of delta-opioid receptors, blocked LTP of synaptic transmission in the LPP while leaving the population spike increase intact. The results indicate that LTP of synaptic transmission in the LPP requires activation of delta-opioid receptors, while `non-delta' opioid receptors may be involved in augmenting granule cell output. This opioid receptor-dependent LTP illustrates peptidergic regulation of synaptic plasticity in the hippocampus.",0006-8993,NA,10.1016/0006-8993(91)91433-2
